variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.9767441860465116,0.6268656716417911,0.6268656716417911,0.9811320754716981,0.7636363636363637,0.9028442692199381,67,0.7487925600729598,0.6492305305567069
raw,mk_mnet,malignant,0.47619047619047616,0.9375,0.9375,0.625,0.631578947368421,0.8941761363636364,32,0.7669473635345423,0.6454232828559028
raw,mk_mnet,normal,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.9797979797979798,0.6857142857142857,0.9557479557479557,21,0.3809523946463632,0.3809523946463632
refined,mk_mnet,benign,0.9761904761904762,0.6119402985074627,0.6119402985074627,0.9811320754716981,0.7522935779816514,0.9028442692199381,67,0.7226736241368327,0.6260054117110205
refined,mk_mnet,malignant,0.5263157894736842,0.9375,0.9375,0.6931818181818182,0.6741573033707865,0.8941761363636364,32,0.7439913886984226,0.6272821297790858
refined,mk_mnet,normal,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.9595959595959596,0.8095238095238095,0.9557479557479557,21,0.8095238097097821,0.8095238097097821
