variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.8472222222222222,0.9104477611940298,0.9104477611940298,0.7924528301886793,0.8776978417266188,0.9512813292030414,67,0.8051348373043526,0.7224239618155015
raw,mk_mnet,malignant,0.8064516129032258,0.78125,0.78125,0.9318181818181818,0.7936507936507936,0.953125,32,0.7964493116296696,0.6823990374984341
raw,mk_mnet,normal,0.9411764705882353,0.7619047619047619,0.7619047619047619,0.98989898989899,0.8421052631578947,0.9894179894179894,21,0.523809526293274,0.523809526293274
refined,mk_mnet,benign,0.8571428571428571,0.8955223880597015,0.8955223880597015,0.8113207547169812,0.8759124087591241,0.9512813292030414,67,0.7792683811471569,0.6995984614350897
refined,mk_mnet,malignant,0.8333333333333334,0.78125,0.78125,0.9431818181818182,0.8064516129032259,0.953125,32,0.7964493116296696,0.6823990374984341
refined,mk_mnet,normal,0.9,0.8571428571428571,0.8571428571428571,0.9797979797979798,0.8780487804878048,0.9894179894179894,21,0.8571428572951237,0.8571428572951237
