variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.92,0.6865671641791045,0.6865671641791045,0.9245283018867925,0.7863247863247863,0.9183328639819769,67,0.7809901879470813,0.6981235472157242
raw,mk_mnet,malignant,0.5686274509803921,0.90625,0.90625,0.75,0.6987951807228915,0.9279119318181818,32,0.7701539658874512,0.6667671544931016
raw,mk_mnet,normal,0.9473684210526315,0.8571428571428571,0.8571428571428571,0.98989898989899,0.9,0.9783549783549783,21,0.619047626331208,0.619047626331208
refined,mk_mnet,benign,0.9347826086956522,0.6417910447761194,0.6417910447761194,0.9433962264150944,0.7610619469026548,0.9183328639819769,67,0.7616286009698104,0.6834371211842083
refined,mk_mnet,malignant,0.58,0.90625,0.90625,0.7613636363636364,0.7073170731707317,0.9279119318181818,32,0.7692499758628976,0.6663085259507519
refined,mk_mnet,normal,0.7916666666666666,0.9047619047619048,0.9047619047619048,0.9494949494949495,0.8444444444444444,0.9783549783549783,21,0.9047619048827636,0.9047619048827636
