variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.9230769230769231,0.7164179104477612,0.7164179104477612,0.9245283018867925,0.8067226890756303,0.8929878907350042,67,0.6614862602912415,0.5663813627437063
raw,mk_mnet,malignant,0.5510204081632653,0.84375,0.84375,0.75,0.6666666666666666,0.87890625,32,0.6854043137235477,0.5684205460592004
raw,mk_mnet,normal,0.7368421052631579,0.6666666666666666,0.6666666666666666,0.9494949494949495,0.7,0.9196729196729196,21,0.6666666723446657,0.6666666723446657
refined,mk_mnet,benign,0.9347826086956522,0.6417910447761194,0.6417910447761194,0.9433962264150944,0.7610619469026548,0.8929878907350042,67,0.6213345706408689,0.5300765973460295
refined,mk_mnet,malignant,0.65,0.8125,0.8125,0.8409090909090909,0.7222222222222223,0.87890625,32,0.6650744215749785,0.5533551558562297
refined,mk_mnet,normal,0.5588235294117647,0.9047619047619048,0.9047619047619048,0.8484848484848485,0.6909090909090908,0.9196729196729196,21,0.9047619048426185,0.9047619048426185
