policy,seed,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr,dice_lesion,iou_lesion,malignant_precision,malignant_sensitivity,malignant_specificity,malignant_f1,malignant_auc,training_time_min
none,42,0.6666666666666666,0.675706289978678,0.662150572653748,0.8526630524904926,0.6352964539754692,0.5206753533128148,0.47368421052631576,0.84375,0.6590909090909091,0.6067415730337079,0.8639914772727273,87.78199414412181
rotate,42,0.7416666666666667,0.7313951077943615,0.7176166932621794,0.8913425310805302,0.7514123299597212,0.6556784546718706,0.6578947368421053,0.78125,0.8522727272727273,0.7142857142857143,0.8902698863636362,89.30114158391953
translate_y,42,0.7083333333333334,0.7604981047145226,0.7212453391132482,0.9225726438971095,0.7605183961804501,0.6564070661157012,0.5263157894736842,0.9375,0.6931818181818182,0.6741573033707865,0.89453125,82.13333859443665
scale,42,0.7,0.7119314143567875,0.6936431989063568,0.9175894537771767,0.7546607793736733,0.647999905037255,0.47619047619047616,0.9375,0.625,0.631578947368421,0.8941761363636364,82.16217716137568
horizontal_flip,42,0.7416666666666667,0.7422781923714759,0.7244631185807657,0.8971890201359747,0.6692173482693605,0.5670404927042701,0.5510204081632653,0.84375,0.75,0.6666666666666666,0.87890625,81.43804643948873
