variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.873015873015873,0.8208955223880597,0.8208955223880597,0.8490566037735849,0.8461538461538461,0.8853843987609125,67,0.7592862148613609,0.679294740050009
raw,mk_mnet,malignant,0.7058823529411765,0.75,0.75,0.8863636363636364,0.7272727272727272,0.9073153409090909,32,0.7852881068907839,0.6679306517292792
raw,mk_mnet,normal,0.6956521739130435,0.7619047619047619,0.7619047619047619,0.9292929292929293,0.7272727272727272,0.9523809523809523,21,0.33333335043463247,0.33333335043463247
refined,mk_mnet,benign,0.8709677419354839,0.8059701492537313,0.8059701492537313,0.8490566037735849,0.8372093023255813,0.8853843987609125,67,0.7041973127720479,0.6319793593297405
refined,mk_mnet,malignant,0.7272727272727273,0.75,0.75,0.8977272727272727,0.7384615384615384,0.9073153409090909,32,0.7635132506933986,0.6512219505986329
refined,mk_mnet,normal,0.68,0.8095238095238095,0.8095238095238095,0.9191919191919192,0.7391304347826089,0.9523809523809523,21,0.8095238097526686,0.8095238097526686
