Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Train_Dice,Val_Dice,Train_IoU,Val_IoU,Val_Joint
1,0.989532751195571,0.8590328444605289,55.330882352941174,56.52173913043478,0.28160850922851,0.5282465644504712,0.1959665908532984,0.4284349192743716,0.5467319778774096
2,0.72813260029344,0.6909379254216733,55.88235294117647,56.52173913043478,0.5290051575969247,0.5220478391518846,0.42603640784235564,0.41356192069219966,0.5436326152281161
3,0.6266076564788818,0.6031268762505573,56.06617647058823,56.52173913043478,0.5954860720564338,0.5888392412439692,0.5017707347869873,0.49307932701163226,0.5770283162741585
4,0.5754800894681145,0.5485292196273803,55.88235294117647,56.52173913043478,0.6264338677420336,0.6470912188259295,0.5361175168963039,0.5580656301683845,0.6061543050651386
5,0.5371639202622807,0.5196152935857358,56.06617647058823,56.52173913043478,0.6418719011194566,0.6671256936592479,0.5557690017363605,0.5817763370494059,0.6161715424817978
6,0.5019576444345362,0.5045022663862809,59.74264705882353,61.73913043478261,0.671678958570256,0.700439627274223,0.5867082985008464,0.6175770635190218,0.6589154658110246
7,0.4757627213702482,0.5006251687588898,67.27941176470588,61.73913043478261,0.690572638722027,0.6971573041832966,0.6093804818742415,0.6140227525130563,0.6572743042655613
8,0.4579910837552127,0.472604905522388,69.48529411764706,74.78260869565217,0.7351335357217228,0.7040434547092603,0.6582499812631046,0.6168201612389606,0.725934770832891
9,0.44363216179258685,0.4574591284212859,73.71323529411765,77.3913043478261,0.7252775483271655,0.7010259420975394,0.6491976529359818,0.6246306916941767,0.7374694927879002
10,0.4122200012207031,0.4491877742435621,81.06617647058823,79.1304347826087,0.7327210394775167,0.7729770162831182,0.6581472211024341,0.6928363717120627,0.7821406820546026
11,0.3949311678023899,0.4408844838971677,83.2720588235294,83.47826086956522,0.7476545922896441,0.6876134250475012,0.673798622453914,0.6074834118718686,0.7611980168715767
12,0.3962841279366437,0.44200696737869927,83.63970588235294,82.6086956521739,0.7267367962528678,0.6865680363147728,0.6515621464042103,0.6019103589545698,0.7563274964182559
13,0.3854544022504021,0.4651112903719363,84.00735294117646,77.3913043478261,0.7577101833680097,0.7585685647052267,0.6840622565325569,0.6757502182670262,0.7662408040917439
14,0.3769600733238108,0.4667023472163988,86.58088235294117,80.0,0.7748156435349408,0.7406103714652683,0.7008348440422731,0.6679433656775433,0.7703051857326342
15,0.3732331294347258,0.44593438428381216,87.5,81.73913043478261,0.7584661525838515,0.7216589222783628,0.6851358273450066,0.640525137859842,0.7695251133130945
16,0.35104427311350317,0.4783513183179109,89.5220588235294,77.3913043478261,0.7746966691578135,0.7491918315058169,0.7043168930446401,0.6656414280767026,0.7615524374920389
17,0.36498278247959476,0.47039908637171207,88.05147058823529,80.8695652173913,0.7791762790259193,0.7429686090220575,0.7067440625499276,0.6636673222417416,0.7758321305979852
18,0.3495965617544511,0.4645839908848638,88.78676470588235,76.52173913043478,0.7837978128124686,0.6835390920224397,0.7122409221004037,0.6003803004389224,0.7243782416633937
19,0.33984264161656885,0.4667179719261501,91.17647058823529,81.73913043478261,0.7663797087529126,0.7242015009341033,0.6958134305827758,0.6495715431545092,0.7707964026409647
20,0.3239196197075002,0.4891824888146442,92.6470588235294,78.26086956521739,0.7763380425817826,0.7450080291084621,0.7080554699196535,0.669905131796132,0.763808362380318
