variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.9310344827586207,0.8059701492537313,0.8059701492537313,0.9245283018867925,0.864,0.9366375668825683,67,0.8109008552853935,0.7336660992263409
raw,mk_mnet,malignant,0.6511627906976745,0.875,0.875,0.8295454545454546,0.7466666666666667,0.9339488636363638,32,0.7805587419383065,0.6764465036077568
raw,mk_mnet,normal,0.9473684210526315,0.8571428571428571,0.8571428571428571,0.98989898989899,0.9,0.9956709956709957,21,0.6190476207263732,0.6190476207263732
refined,mk_mnet,benign,0.9298245614035088,0.7910447761194029,0.7910447761194029,0.9245283018867925,0.8548387096774193,0.9366375668825683,67,0.797990722459313,0.7222917442803704
refined,mk_mnet,malignant,0.6666666666666666,0.875,0.875,0.8409090909090909,0.7567567567567567,0.9339488636363638,32,0.7682821829336697,0.668807790262925
refined,mk_mnet,normal,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9797979797979798,0.9047619047619048,0.9956709956709957,21,0.9047619049922531,0.9047619049922531
