variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.8484848484848485,0.835820895522388,0.835820895522388,0.8113207547169812,0.8421052631578948,0.8853843987609125,67,0.749541798717484,0.6692365349762477
raw,mk_mnet,malignant,0.7096774193548387,0.6875,0.6875,0.8977272727272727,0.6984126984126984,0.8682528409090908,32,0.7999707523162272,0.6859614126813429
raw,mk_mnet,normal,0.7391304347826086,0.8095238095238095,0.8095238095238095,0.9393939393939394,0.7727272727272727,0.9427609427609427,21,0.2857142883354998,0.2857142883354998
refined,mk_mnet,benign,0.8524590163934426,0.7761194029850746,0.7761194029850746,0.8301886792452831,0.8124999999999999,0.8853843987609125,67,0.7146293021242874,0.642542679358812
refined,mk_mnet,malignant,0.7333333333333333,0.6875,0.6875,0.9090909090909091,0.7096774193548386,0.8682528409090908,32,0.7644316607331936,0.6595785316726829
refined,mk_mnet,normal,0.6551724137931034,0.9047619047619048,0.9047619047619048,0.898989898989899,0.7599999999999999,0.9427609427609427,21,0.9047619048124551,0.9047619048124551
