variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.9069767441860465,0.582089552238806,0.582089552238806,0.9245283018867925,0.7090909090909091,0.9039707124753591,67,0.7650937039832634,0.6676887160605566
raw,mk_mnet,malignant,0.5263157894736842,0.9375,0.9375,0.6931818181818182,0.6741573033707865,0.89453125,32,0.7509388454683096,0.6327861115436604
raw,mk_mnet,normal,0.8,0.7619047619047619,0.7619047619047619,0.9595959595959596,0.7804878048780488,0.9692159692159692,21,0.47619048139885983,0.47619048139885983
refined,mk_mnet,benign,0.9512195121951219,0.582089552238806,0.582089552238806,0.9622641509433962,0.7222222222222221,0.9039707124753591,67,0.7428667591121216,0.6497174747946995
refined,mk_mnet,malignant,0.5272727272727272,0.90625,0.90625,0.7045454545454546,0.6666666666666665,0.89453125,32,0.7274977851682434,0.6140315539404269
refined,mk_mnet,normal,0.7916666666666666,0.9047619047619048,0.9047619047619048,0.9494949494949495,0.8444444444444444,0.9692159692159692,21,0.9047619048602689,0.9047619048602689
