variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,r_cbam_mnet,benign,0.896551724137931,0.7761194029850746,0.7761194029850746,0.8867924528301887,0.8320000000000001,0.9186144747958321,67,0.7549684614489326,0.6752552843443211
raw,r_cbam_mnet,malignant,0.627906976744186,0.84375,0.84375,0.8181818181818182,0.72,0.8895596590909092,32,0.7837525859065931,0.6797087480961971
raw,r_cbam_mnet,normal,0.9473684210526315,0.8571428571428571,0.8571428571428571,0.98989898989899,0.9,0.976911976911977,21,0.809523809649106,0.809523809649106
refined,r_cbam_mnet,benign,0.9245283018867925,0.7313432835820896,0.7313432835820896,0.9245283018867925,0.8166666666666667,0.9186144747958321,67,0.7418097651890558,0.6634892968105195
refined,r_cbam_mnet,malignant,0.627906976744186,0.84375,0.84375,0.8181818181818182,0.72,0.8895596590909092,32,0.7837525859065931,0.6797087480961971
refined,r_cbam_mnet,normal,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9595959595959596,0.888888888888889,0.976911976911977,21,0.9523809523958054,0.9523809523958054
