variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,r_cbam_mnet,benign,0.8208955223880597,0.8208955223880597,0.8208955223880597,0.7735849056603774,0.8208955223880597,0.8986201070121093,67,0.7456974228907964,0.6701741394769855
raw,r_cbam_mnet,malignant,0.7142857142857143,0.625,0.625,0.9090909090909091,0.6666666666666666,0.9115767045454546,32,0.7842274073126145,0.673882940907096
raw,r_cbam_mnet,normal,0.76,0.9047619047619048,0.9047619047619048,0.9393939393939394,0.8260869565217391,0.9571909571909571,21,0.5714285976629394,0.5714285976629394
refined,r_cbam_mnet,benign,0.828125,0.7910447761194029,0.7910447761194029,0.7924528301886793,0.8091603053435115,0.8986201070121093,67,0.6964091007142831,0.6285403812918243
refined,r_cbam_mnet,malignant,0.7407407407407407,0.625,0.625,0.9204545454545454,0.6779661016949152,0.9115767045454546,32,0.7648709412718044,0.6598625418257671
refined,r_cbam_mnet,normal,0.7241379310344828,1.0,1.0,0.9191919191919192,0.8400000000000001,0.9571909571909571,21,1.0,1.0
