variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.8333333333333334,0.746268656716418,0.746268656716418,0.8113207547169812,0.7874015748031497,0.8482117713320192,67,0.7367029563687736,0.650651428268827
raw,mk_mnet,malignant,0.6578947368421053,0.78125,0.78125,0.8522727272727273,0.7142857142857143,0.8902698863636362,32,0.7822100809157675,0.6662037912032429
raw,mk_mnet,normal,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.9191919191919192,0.6511627906976744,0.9355459355459355,21,0.4285714771981656,0.4285714771981656
refined,mk_mnet,benign,0.8679245283018868,0.6865671641791045,0.6865671641791045,0.8679245283018868,0.7666666666666666,0.8482117713320192,67,0.6959551403646622,0.6174345475118972
refined,mk_mnet,malignant,0.6578947368421053,0.78125,0.78125,0.8522727272727273,0.7142857142857143,0.8902698863636362,32,0.7294905568266525,0.6244486606653994
refined,mk_mnet,normal,0.5862068965517241,0.8095238095238095,0.8095238095238095,0.8787878787878788,0.68,0.9355459355459355,21,0.8095238098688811,0.8095238098688811
