variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.8541666666666666,0.6119402985074627,0.6119402985074627,0.8679245283018868,0.7130434782608694,0.844550830751901,67,0.6035565129706911,0.49631786236730463
raw,mk_mnet,malignant,0.47368421052631576,0.84375,0.84375,0.6590909090909091,0.6067415730337079,0.8639914772727273,32,0.7017519554542234,0.5716738499799765
raw,mk_mnet,normal,0.8,0.5714285714285714,0.5714285714285714,0.9696969696969697,0.6666666666666666,0.8494468494468495,21,0.5238095295744275,0.5238095295744275
refined,mk_mnet,benign,0.8604651162790697,0.5522388059701493,0.5522388059701493,0.8867924528301887,0.6727272727272727,0.844550830751901,67,0.5882420414586679,0.48599255079115616
refined,mk_mnet,malignant,0.5192307692307693,0.84375,0.84375,0.7159090909090909,0.6428571428571429,0.8639914772727273,32,0.7017519554542234,0.5716738499799765
refined,mk_mnet,normal,0.68,0.8095238095238095,0.8095238095238095,0.9191919191919192,0.7391304347826089,0.8494468494468495,21,0.8095238097214426,0.8095238097214426
