variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
raw,mk_mnet,benign,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.8113207547169812,0.8507462686567164,0.928470853280766,67,0.7956396882035701,0.7205582966151287
raw,mk_mnet,malignant,0.7058823529411765,0.75,0.75,0.8863636363636364,0.7272727272727272,0.8973721590909092,32,0.783289506147164,0.6739992964218675
raw,mk_mnet,normal,0.8947368421052632,0.8095238095238095,0.8095238095238095,0.9797979797979798,0.8500000000000001,0.9846079846079846,21,0.42857143395285136,0.42857143395285136
refined,mk_mnet,benign,0.859375,0.8208955223880597,0.8208955223880597,0.8301886792452831,0.8396946564885497,0.928470853280766,67,0.771305804874702,0.6998736521033304
refined,mk_mnet,malignant,0.7272727272727273,0.75,0.75,0.8977272727272727,0.7384615384615384,0.8973721590909092,32,0.7832792366762497,0.673994160842575
refined,mk_mnet,normal,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.9595959595959596,0.8636363636363636,0.9846079846079846,21,0.9047619048085378,0.9047619048085378
